26.75	22.15	1
29.8	22.15	1
31.55	21.1	1
27.7	20.85	1
29.9	19.95	1
26.8	19.05	1
28.35	18.25	1
30.4	17.85	1
27.25	16.7	1
29.05	16	1
27.15	14.85	1
28.2	13.95	1
30.35	13.85	1
27.25	11.95	1
29.45	12.05	1
31.55	12.2	1
33.05	10.65	1
29.95	9.85	1
28	9.75	1
27.15	7.85	1
29.15	8.1	1
31.95	8.6	1
34.7	8.55	1
34.8	12.25	1
36.3	15.25	1
36.6	13.2	1
38.7	14.25	1
40.3	15.5	1
42.25	14.25	1
40.7	12.8	1
38.6	12.1	1
36.1	10.5	1
38.35	10.4	1
37.65	8.4	1
40.15	8.55	1
40.8	10.65	1
42.9	11.25	1
41.95	8.5	1
42.45	17.45	1
40.25	18.45	1
42.55	19.45	1
40.95	20.65	1
42.25	22.15	1
38.85	22.4	1
38.4	20	1
35.25	20.2	1
33.25	21	1
34.15	22.35	1
35.55	22.5	1
36.55	21.4	1
